Algorithm,Variant,Iteration,BestTrainMakespan
PEFT,Original Algo + Motifs + BO,14,415.2835820895522
PEFT,Original Algo + Motifs + BO,15,404.02985074626866
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),1,430.55223880597015
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),12,405.76119402985074
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),13,405.76119402985074
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),14,405.76119402985074
PEFT,Original Algo + Configs + BO (LLM for Weight Generation),15,403.3731343283582
Decima,Original Algo + BO,1,416.2686567164179
Decima,Original Algo + BO,2,416.2686567164179
Decima,Original Algo + BO,3,416.2686567164179
Decima,Original Algo + BO,4,416.2686567164179
Decima,Original Algo + BO,5,416.2686567164179
Decima,Original Algo + BO,6,416.2686567164179
Decima,Original Algo + BO,7,416.2686567164179
Decima,Original Algo + BO,8,413.23880597014926
Decima,Original Algo + BO,9,413.23880597014926
Decima,Original Algo + BO,10,413.23880597014926
Decima,Original Algo + BO,11,413.23880597014926
Decima,Original Algo + BO,12,401.8358208955224
Decima,Original Algo + BO,13,401.8358208955224
Decima,Original Algo + BO,14,401.8358208955224
Decima,Original Algo + BO,15,401.8358208955224
Decima,Original Algo + Motifs + BO,1,418.8059701492537
Decima,Original Algo + Motifs + BO,2,418.8059701492537
Decima,Original Algo + Motifs + BO,3,418.8059701492537
Decima,Original Algo + Motifs + BO,4,418.8059701492537
Decima,Original Algo + Motifs + BO,5,418.8059701492537
Decima,Original Algo + Motifs + BO,6,418.8059701492537
Decima,Original Algo + Motifs + BO,7,418.8059701492537
Decima,Original Algo + Motifs + BO,8,415.2835820895522
Decima,Original Algo + Motifs + BO,9,415.2835820895522
Decima,Original Algo + Motifs + BO,10,415.2835820895522
Decima,Original Algo + Motifs + BO,11,415.2835820895522
Decima,Original Algo + Motifs + BO,12,412.2835820895522
Decima,Original Algo + Motifs + BO,13,412.2835820895522
Decima,Original Algo + Motifs + BO,14,412.2835820895522
Decima,Original Algo + Motifs + BO,15,412.2835820895522
Decima,Original Algo + Configs + BO (LLM for Weight Generation),1,430.55223880597015
Decima,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
Decima,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
Decima,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
Decima,Original Algo + Configs + BO (LLM for Weight Generation),12,405.76119402985074
Decima,Original Algo + Configs + BO (LLM for Weight Generation),13,405.76119402985074
Decima,Original Algo + Configs + BO (LLM for Weight Generation),14,405.76119402985074
Decima,Original Algo + Configs + BO (LLM for Weight Generation),15,403.3731343283582
LLM,Original Algo + BO,1,413.2238805970149
LLM,Original Algo + BO,2,413.2238805970149
LLM,Original Algo + BO,3,413.2238805970149
LLM,Original Algo + BO,4,413.2238805970149
LLM,Original Algo + BO,5,413.2238805970149
LLM,Original Algo + BO,6,413.2238805970149
LLM,Original Algo + BO,7,413.2238805970149
LLM,Original Algo + BO,8,413.2238805970149
LLM,Original Algo + BO,9,413.2238805970149
LLM,Original Algo + BO,10,413.2238805970149
LLM,Original Algo + BO,11,413.2238805970149
LLM,Original Algo + BO,12,403.5074626865672
LLM,Original Algo + BO,13,403.5074626865672
LLM,Original Algo + BO,14,403.5074626865672
LLM,Original Algo + BO,15,403.5074626865672
LLM,Original Algo + Motifs + BO,1,416.7761194029851
LLM,Original Algo + Motifs + BO,2,416.7761194029851
LLM,Original Algo + Motifs + BO,3,416.7761194029851
LLM,Original Algo + Motifs + BO,4,416.7761194029851
LLM,Original Algo + Motifs + BO,5,416.7761194029851
LLM,Original Algo + Motifs + BO,6,416.7761194029851
LLM,Original Algo + Motifs + BO,7,416.7761194029851
LLM,Original Algo + Motifs + BO,8,415.2835820895522
LLM,Original Algo + Motifs + BO,9,415.2835820895522
LLM,Original Algo + Motifs + BO,10,415.2835820895522
LLM,Original Algo + Motifs + BO,11,415.2835820895522
LLM,Original Algo + Motifs + BO,12,415.2835820895522
LLM,Original Algo + Motifs + BO,13,415.2835820895522
LLM,Original Algo + Motifs + BO,14,415.2835820895522
LLM,Original Algo + Motifs + BO,15,405.7761194029851
LLM,Original Algo + Configs + BO (LLM for Weight Generation),1,427.6268656716418
LLM,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
LLM,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
LLM,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
LLM,Original Algo + Configs + BO (LLM for Weight Generation),12,409.07462686567163
LLM,Original Algo + Configs + BO (LLM for Weight Generation),13,409.07462686567163
LLM,Original Algo + Configs + BO (LLM for Weight Generation),14,409.07462686567163
LLM,Original Algo + Configs + BO (LLM for Weight Generation),15,409.07462686567163
