method,family,nodes,edges,makespan,slr,runtime_ms,motifs
Decima-like-RL,ER,30,59,179.0,1.5982142857142858,0.12969970703125,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
Decima-like-RL,BA,50,85,275.0,1.9784172661870503,4.181385040283203,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
Decima-like-RL,WS,30,44,176.0,1.6923076923076923,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
Decima-like-RL,BA,30,45,262.0,1.2535885167464116,4.13823127746582,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
Decima-like-RL,WS,30,40,156.0,1.9024390243902438,2.124786376953125,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
Decima-like-RL,BA,50,82,271.0,1.6625766871165644,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
Decima-like-RL,ER,50,107,243.0,1.6875,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
Decima-like-RL,ER,50,107,296.0,1.7209302325581395,10.617256164550781,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
HEFT,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
HEFT,ER,30,25,106.0,1.8275862068965518,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
HEFT,ER,50,118,264.0,1.353846153846154,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
HEFT,ER,20,16,76.0,1.1176470588235294,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
HEFT,ER,30,59,153.0,1.3660714285714286,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
HEFT,BA,50,85,209.0,1.5035971223021583,7.598400115966797,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
HEFT,WS,30,44,151.0,1.4519230769230769,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
HEFT,BA,30,45,260.0,1.244019138755981,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
HEFT,WS,30,40,126.0,1.5365853658536586,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
HEFT,BA,50,82,228.0,1.3987730061349692,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
HEFT,ER,50,107,199.0,1.3819444444444444,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
HEFT,ER,50,107,256.0,1.4883720930232558,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
CPOP,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
CPOP,ER,30,25,128.0,2.206896551724138,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
CPOP,ER,50,118,291.0,1.4923076923076923,10.354042053222656,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
CPOP,ER,20,16,84.0,1.2352941176470589,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
