dag_id,method,family,nodes,edges,makespan,critical_path_lb,combined_lb,slr,gap_to_lb_percent,runtime_ms,actual_inner_method,improvement_vs_heft_percent
7,GA-PerDAG,ER,80,268,540.0,230.0,257.75,2.347826086956522,52.26851851851851,2293.5822010040283,GA-PerDAG,4.761904761904762
8,GA-PerDAG,MOTIF_FORK,15,14,106.0,38.0,38.0,2.789473684210526,64.15094339622641,274.9671936035156,GA-PerDAG,1.8518518518518516
9,GA-PerDAG,ER,50,150,389.0,214.0,214.0,1.8177570093457944,44.987146529562985,1148.2396125793457,GA-PerDAG,12.780269058295964
10,GA-PerDAG,ER,80,144,359.0,108.0,266.5,3.324074074074074,25.766016713091922,2280.5392742156982,GA-PerDAG,13.908872901678656
11,GA-PerDAG,WS,80,126,413.0,180.0,230.0,2.2944444444444443,44.30992736077482,2173.865795135498,GA-PerDAG,6.561085972850679
12,GA-PerDAG,WS,80,160,417.0,158.0,258.5,2.6392405063291138,38.00959232613909,2141.599416732788,GA-PerDAG,7.5388026607538805
13,GA-PerDAG,BA,30,45,345.0,208.0,208.0,1.6586538461538463,39.710144927536234,536.6957187652588,GA-PerDAG,3.8997214484679668
0,GA+SA,BA,80,79,317.0,104.0,249.0,3.048076923076923,21.451104100946374,3320.8420276641846,SA-Refined,6.489675516224189
1,GA+SA,BA,50,49,200.0,91.0,142.25,2.197802197802198,28.875,1622.467279434204,SA-Refined,25.0936329588015
2,GA+SA,WS,80,155,464.0,166.0,259.5,2.7951807228915664,44.07327586206897,2774.372339248657,SA-Refined,15.636363636363637
3,GA+SA,ER,20,19,148.0,106.0,106.0,1.3962264150943395,28.37837837837838,461.24887466430664,SA-Refined,6.329113924050633
4,GA+SA,ER,20,22,125.0,65.0,73.5,1.9230769230769231,41.199999999999996,510.44726371765137,SA-Refined,2.34375
5,GA+SA,ER,80,292,498.0,209.0,249.25,2.382775119617225,49.94979919678715,3062.8504753112793,SA-Refined,17.13810316139767
6,GA+SA,WS,30,46,328.0,138.0,138.0,2.3768115942028984,57.92682926829268,716.0518169403076,SA-Refined,10.869565217391305
7,GA+SA,ER,80,268,544.0,230.0,257.75,2.365217391304348,52.61948529411765,2977.386951446533,SA-Refined,4.056437389770723
8,GA+SA,MOTIF_FORK,15,14,108.0,38.0,38.0,2.8421052631578947,64.81481481481481,351.67670249938965,SA-Refined,0.0
9,GA+SA,ER,50,150,389.0,214.0,214.0,1.8177570093457944,44.987146529562985,1470.8797931671143,SA-Refined,12.780269058295964
10,GA+SA,ER,80,144,363.0,108.0,266.5,3.361111111111111,26.584022038567497,3047.0216274261475,SA-Refined,12.949640287769784
11,GA+SA,WS,80,126,413.0,180.0,230.0,2.2944444444444443,44.30992736077482,2703.4099102020264,SA-Refined,6.561085972850679
12,GA+SA,WS,80,160,424.0,158.0,258.5,2.6835443037974684,39.03301886792453,2784.639358520508,SA-Refined,5.986696230598669
13,GA+SA,BA,30,45,345.0,208.0,208.0,1.6586538461538463,39.710144927536234,765.7010555267334,SA-Refined,3.8997214484679668
0,HYBRID-BEST,BA,80,79,308.0,104.0,249.0,2.9615384615384617,19.155844155844157,3310.9140396118164,HYBRID-BEST,9.144542772861357
1,HYBRID-BEST,BA,50,49,215.0,91.0,142.25,2.3626373626373627,33.83720930232558,1814.4044876098633,HYBRID-BEST,19.475655430711612
2,HYBRID-BEST,WS,80,155,447.0,166.0,259.5,2.6927710843373496,41.946308724832214,3483.207941055298,HYBRID-BEST,18.72727272727273
3,HYBRID-BEST,ER,20,19,148.0,106.0,106.0,1.3962264150943395,28.37837837837838,518.0196762084961,HYBRID-BEST,6.329113924050633
4,HYBRID-BEST,ER,20,22,125.0,65.0,73.5,1.9230769230769231,41.199999999999996,517.033576965332,HYBRID-BEST,2.34375
5,HYBRID-BEST,ER,80,292,485.0,209.0,249.25,2.3205741626794256,48.608247422680414,3282.3128700256348,HYBRID-BEST,19.30116472545757
6,HYBRID-BEST,WS,30,46,326.0,138.0,138.0,2.36231884057971,57.668711656441715,752.0060539245605,HYBRID-BEST,11.41304347826087
7,HYBRID-BEST,ER,80,268,554.0,230.0,257.75,2.408695652173913,53.47472924187726,3053.1435012817383,HYBRID-BEST,2.2927689594356258
8,HYBRID-BEST,MOTIF_FORK,15,14,108.0,38.0,38.0,2.8421052631578947,64.81481481481481,361.5412712097168,HYBRID-BEST,0.0
9,HYBRID-BEST,ER,50,150,387.0,214.0,214.0,1.808411214953271,44.70284237726098,1533.630609512329,HYBRID-BEST,13.228699551569505
10,HYBRID-BEST,ER,80,144,374.0,108.0,266.5,3.462962962962963,28.74331550802139,3084.9499702453613,HYBRID-BEST,10.311750599520384
11,HYBRID-BEST,WS,80,126,433.0,180.0,230.0,2.4055555555555554,46.88221709006928,2756.613254547119,HYBRID-BEST,2.0361990950226243
12,HYBRID-BEST,WS,80,160,408.0,158.0,258.5,2.5822784810126582,36.6421568627451,2766.110897064209,HYBRID-BEST,9.534368070953436
13,HYBRID-BEST,BA,30,45,345.0,208.0,208.0,1.6586538461538463,39.710144927536234,750.227689743042,HYBRID-BEST,3.8997214484679668
0,GNN-Imitation,BA,80,79,344.0,104.0,249.0,3.3076923076923075,27.61627906976744,9.210586547851562,GNN-Imitation,-1.4749262536873156
1,GNN-Imitation,BA,50,49,252.0,91.0,142.25,2.769230769230769,43.551587301587304,0.0,GNN-Imitation,5.617977528089887
2,GNN-Imitation,WS,80,155,538.0,166.0,259.5,3.2409638554216866,51.765799256505574,16.177892684936523,GNN-Imitation,2.181818181818182
3,GNN-Imitation,ER,20,19,158.0,106.0,106.0,1.490566037735849,32.91139240506329,5.538225173950195,GNN-Imitation,0.0
4,GNN-Imitation,ER,20,22,128.0,65.0,73.5,1.9692307692307693,42.578125,3.238201141357422,GNN-Imitation,0.0
5,GNN-Imitation,ER,80,292,615.0,209.0,249.25,2.9425837320574164,59.47154471544715,8.29005241394043,GNN-Imitation,-2.329450915141431
6,GNN-Imitation,WS,30,46,368.0,138.0,138.0,2.6666666666666665,62.5,7.016897201538086,GNN-Imitation,0.0
7,GNN-Imitation,ER,80,268,583.0,230.0,257.75,2.534782608695652,55.78902229845626,0.0,GNN-Imitation,-2.821869488536155
8,GNN-Imitation,MOTIF_FORK,15,14,110.0,38.0,38.0,2.8947368421052633,65.45454545454545,8.653879165649414,GNN-Imitation,-1.8518518518518516
9,GNN-Imitation,ER,50,150,453.0,214.0,214.0,2.116822429906542,52.75938189845475,0.0,GNN-Imitation,-1.5695067264573992
10,GNN-Imitation,ER,80,144,438.0,108.0,266.5,4.055555555555555,39.15525114155251,7.762908935546875,GNN-Imitation,-5.0359712230215825
11,GNN-Imitation,WS,80,126,456.0,180.0,230.0,2.533333333333333,49.56140350877193,8.183479309082031,GNN-Imitation,-3.167420814479638
12,GNN-Imitation,WS,80,160,485.0,158.0,258.5,3.069620253164557,46.70103092783505,37.86969184875488,GNN-Imitation,-7.5388026607538805
13,GNN-Imitation,BA,30,45,359.0,208.0,208.0,1.7259615384615385,42.061281337047355,5.046367645263672,GNN-Imitation,0.0
0,Decima-like-RL,BA,80,79,524.0,104.0,249.0,5.038461538461538,52.48091603053435,8.595705032348633,Decima-like-RL,-54.572271386430685
1,Decima-like-RL,BA,50,49,379.0,91.0,142.25,4.164835164835165,62.467018469656985,0.0,Decima-like-RL,-41.947565543071164
2,Decima-like-RL,WS,80,155,728.0,166.0,259.5,4.385542168674699,64.3543956043956,6.53386116027832,Decima-like-RL,-32.36363636363636
3,Decima-like-RL,ER,20,19,172.0,106.0,106.0,1.6226415094339623,38.372093023255815,8.619546890258789,Decima-like-RL,-8.860759493670885
4,Decima-like-RL,ER,20,22,205.0,65.0,73.5,3.1538461538461537,64.14634146341463,0.0,Decima-like-RL,-60.15625
5,Decima-like-RL,ER,80,292,893.0,209.0,249.25,4.2727272727272725,72.08846584546473,9.562253952026367,Decima-like-RL,-48.58569051580699
6,Decima-like-RL,WS,30,46,371.0,138.0,138.0,2.6884057971014492,62.8032345013477,8.713483810424805,Decima-like-RL,-0.8152173913043478
7,Decima-like-RL,ER,80,268,851.0,230.0,257.75,3.7,69.71210340775558,7.503986358642578,Decima-like-RL,-50.08818342151675
8,Decima-like-RL,MOTIF_FORK,15,14,115.0,38.0,38.0,3.026315789473684,66.95652173913044,0.0,Decima-like-RL,-6.481481481481481
9,Decima-like-RL,ER,50,150,513.0,214.0,214.0,2.397196261682243,58.28460038986355,8.59379768371582,Decima-like-RL,-15.022421524663676
10,Decima-like-RL,ER,80,144,556.0,108.0,266.5,5.148148148148148,52.068345323741006,6.7615509033203125,Decima-like-RL,-33.33333333333333
11,Decima-like-RL,WS,80,126,688.0,180.0,230.0,3.8222222222222224,66.56976744186046,9.204387664794922,Decima-like-RL,-55.65610859728507
12,Decima-like-RL,WS,80,160,723.0,158.0,258.5,4.575949367088608,64.24619640387276,8.615255355834961,Decima-like-RL,-60.310421286031044
13,Decima-like-RL,BA,30,45,455.0,208.0,208.0,2.1875,54.285714285714285,0.0,Decima-like-RL,-26.740947075208915
